text ,bullying,,,,
" الناس ما بدها تشوف وجهك، لازم تعيشي لوحدك ",1,,,,
 الواحد ما بدو يشوف وجهك اللي بيجيب النية السودة ,1,,,,
 اما يا فصح السلبية في كلامك يتعيق اي تقدم او تفاعل ايجابي ,1,,,,
 ان شاء الله ع عرسك رح اجبلك هيك مطرب,0,,,,
" انا بحاجة لايجابية في حياتي، وانتِ عائق ومعلق هاهاهاها.....",1,,,,
" انا بحاجة لبيئة ايجابية، وانتِ عكس ذلك تماما ",1,,,,
 انا بصراحة لا استطيع التعامل مع تفكيرك السلبي ,1,,,,
 انا بصراحة مليت من تشاؤمك المستمر ,1,,,,
 انا حقا لا اعرف كيف تجدين السلبية في كل شيء ,1,,,,
 انا فعلا تعبت من تفاؤلك السلبي ,1,,,,
" انا ما بدي اشوف وجهك، ولا حتى صوتك ",1,,,,
 انا ما بدي اشوفك بتوجعين حدا بكلامك ,1,,,,
" انا ما بدي حدا زعلان بجواري، انقلعي ",1,,,,
" انا مهتم بالايجابية، ولكن معكِ تصبح الحياة صعبة ",1,,,,
 انت  تفشل في كل شيء تحاوله ,1,,,,
" انت  عائق في حياتنا، اتجه نحو أي محل بس مش قريب من هوننننن ",1,,,,
" انت ازعاج في حياتنا، ابتعد والعب بعيد ",1,,,,
" انت اللعنة التي لا تنتهي، حل عنا يا.... ",1,,,,
 انت ببساطة ماعندك اصدقاء حقيقيين ,1,,,,
 انت تظهر دائما بمظهر يدل على اللامبالاة والاهمال ,1,,,,
 انت تعد بمثابة عقبة في طريق النجاح للاخرين ,1,,,,
" انت تفتقد الى المهارات الاساسية، اليس صحيح؟ ",1,,,,
 انت تفتقر الى الالتزام بتحقيق اهدافك والعمل بجدية لتحقيق النجاح ,1,,,,
 انت تفتقر الى الالتزام بتعزيز مهارات القيادة الشخصية والتطوير المهني ,1,,,,
 انت تفتقر الى الرغبة في تطوير مهارات الاتصال وبناء علاقات فعّالة ,1,,,,
" انت تفسد المزاج للجميع من حولك، ابعد غاد",1,,,,
" انت تفسد كل شيء تلمسه، لا نريد ان نظل حواليك، ها ها... ",1,,,,
 انت ثقل علجميع مننا هوننن ,1,,,,
" انت حمل على الجميع، لا نحتاج لك ",1,,,,
 انت دائما تثقل كاهل الكل بدون أي سبب واضح ,1,,,,
" انت دائما تظهر بمظهر انك غير مهتم، مطنش",1,,,,
 انت دائما تعيق أي تقدم بدون سبب واضح ,1,,,,
" انت دائما تفشل، مستحيل انت الاعتماد عليك في اي شيء ",1,,,,
 انت شخص لا تستحق الاهتمام ,1,,,,
 انت صفر رغبة في تحسين نفسك وتقديم إضافة وحدة فعّالة ,1,,,,
 انت ضعيف لدرجة انك تثير الشفقة ,1,,,,
 انت عاجز عن جذب انتباه اي شخص ,1,,,,
" انت عبء على الجميع من حولك، ابعد ",1,,,,
" انت عبء على الجميع، لا احد يريد مشاركة حياته معك ",1,,,,
" انت عبء على كل الناس حولك، ومالك  اي فائدة ",1,,,,
 انت عبء للجميع من حولك ,1,,,,
" انت عديم الجدوى ومل لك اي قيمة، انسحب واصرف",1,,,,
" انت عديم الفائدة، لا تستحق تكون هون ",1,,,,
" انت عديم الفائدة، ومش رح تفيد حده من تواجدك ",1,,,,
 انت عديم القيمة والكل عارف شو ومين انت,1,,,,
 انت غبي جدا لدرجة انه يجعلني اضحك ,1,,,,
" انت غبي، كيف ممكن لشخص مثلك النجاح في اي شيء؟ ",1,,,,
" انت غير قابل للتحسين، وهذا امر واضح ومبين للجميع ",1,,,,
" انت غير قادر على تحقيق اي شيء، فلا تحاول معطوب ",1,,,,
" انت غير محبوب ولا احد يريد ان يكون جنبك، او حواليك ",1,,,,
 انت غير محبوب ولن يتغير هذا الاشي ابدا ,1,,,,
" انت غير مرغوب فيه حوالينا، لا تبين وجهك ، حل وجب",1,,,,
 انت غير مرغوب فيه حولنا ,1,,,,
" انت غير مرغوب فيه وغير محبوب، ولك فهمت ذلك؟ ",1,,,,
 انت فقط تجلب السلبية والاحباط للجميع حولك ,1,,,,
" انت فقط تجلب السلبية، جب جب جب عنا ",1,,,,
 انت فقط تسبب الازعاج للجميع  ,1,,,,
 انت فقط تكسر ظهر الجميع بوجودك ,1,,,,
 انت فقط ذاهب لتكون وحيدا عشان لا تستحق الاصدقاء ,1,,,,
" انت لا تبدو قادرا على استيعاب المفاهيم الاساسية اكيد صحيح، خاخاخاخا ",1,,,,
" انت لا تحمل اي قيمة، ولن تفيد احدا هنا ",1,,,,
" انت لا تساعد او تساهم في اشيء هون، قب ",1,,,,
" انت لا تستاهل الحب او الرعاية، انتقل من هون!",1,,,,
" انت لا تستحق اي اهتمام، انعزل لحالك بجبل احسنلك !!!! ",1,,,,
" انت لا تستحق حتى النظر، انعزل واصرف صرفة تصرفك ",1,,,,
 انت لا تظهر اي استعداد لتبني المبادرة والتحمل المشترك للمسؤوليات ,1,,,,
 انت لا تظهر اي استعداد لتعلم كيفية التعامل مع التحديات والظروف الصعبة ,1,,,,
 انت لا تعرف كيف تكون أصلا....,1,,,,
" انت لا تفهم كيف تبني علاقات ايجابية، اليس كذلك؟ ",1,,,,
" انت لا تمتلك اي جاذبية، لا يحتاج احد اليك ",1,,,,
" انت لا تمتلك اي صفات تجعلك مقبولا، انسحب ",1,,,,
" انت لا تملك اي فائدة بالنسبة لنا، لا تشارك في شيء معا او مع أي حد، حرام",1,,,,
" انت لا تملك قيمة في حياتنا، اختفِ ودعنا بحالنا ولحالنا",1,,,,
 انت لا نية لتحسين ذاتك او تطوير مهاراتك ,1,,,,
" انت ما بتجيب غير الاضطراب والعناء، والمغص اصرف ",1,,,,
" انت ما بتعرف تحترم اراء الناس، ليش ما تحاول تتطور في هذا الجانب",1,,,,
" انت ما بتعرف تكون لطيفا، ليش ما تبذل جهد يا حزين!!!",1,,,,
 انت ما عندك  الرغبة في التعاون مع الفريق والمساهمة في النجاح المشترك ,1,,,,
" انت مثل الحجر الثقيل، نحن نحتاج الى التخلص منك في البحر",1,,,,
" انت مثل العث في حياتنا، نحن نحتاج الى التخلص منك ونرشك",1,,,,
" انت مثل العثة التي لا تتوقف عن الالتصاق بنا ، تقول لزقة",1,,,,
" انت مثل الفاشل الدائم، لا تستحق الفرصة ، ما الفشل عندك موهبة!!!؟؟؟",1,,,,
" انت مجرد ثقل على الكل، ما بيحتاجوا الك بالمرة مر ياخي ",1,,,,
" انت مجرد حمل على كاهل الجميع، انسحب بهدوء ونونه نونه",1,,,,
" انت مجرد ضجة وقرقعة لا قيمة لها، لا تستحق الاهتمام من احد",1,,,,
" انت مجرد عائق في حياتنا، لا داعي لتكون هنا ",1,,,,
" انت مجرد عبء يثقل على كل من حولك، ابتعد ",1,,,,
" انت مجرد عقبة في طريق النجاح، انقلع من هون حل يا",1,,,,
" انت مجرد متاعب يجب التخلص منها، انطلق على القمررر",1,,,,
" انت مش بمحلك، ما حدا بيقدر يتحملك ",1,,,,
 انت مش محترم وما في حدا بيحترمك بتعرف؟,1,,,,
 انت مش ممكن تكون جزءا من اي جهد جماعي ,1,,,,
" انت مصدر للغثيان، لا تتكلمي معايا ",1,,,,
 انت ولا قادرا تفهم النصائح والتوجيهات ,1,,,,
" انك لا تحقق اي تقدم، هاها، لماذا تحاول؟ ",1,,,,
 اي حدا يقابلك بيتاكد انك مشكلة كبيرة زي  ابرة في الصرم,1,,,,
 ايامي معك مثل رحلة في الظلام والعتمة ,1,,,,
" أردوغان: 

⏺حماس ليست منظمة إرهابية بل هي حركة تحررية تنقذ أرضها وشعبها

 كان لدينا حسن نية تجاه إسرائيل لكنهم أساؤوا حسن نيتنا وألغيت زيارتي لإسرائيل
لا يمكن لنا أن نتسامح مع قتل إسرائيل للأطفال
 إسرائيل تشن منذ 7 أكتوبر أكثر الهجمات وحشية في التاريخ ومعظم القتلى من الأطفال

لا يمكن لإسرائيل الاستمرار بهذه الطريقة حتى وإن وقفت الولايات المتحدة والغرب إلى جانبها",1,,,,
 ببساطة تضيع وقت الجميع هنا ,1,,,,
 ببساطة لا تفهم معنى النجاح ,1,,,,
 بتحسين انك الوحيدة اللي عندها فهم صحيح للحياة؟ ,1,,,,
 بتفكر ان هناك من يستمتع بوجودك حوله؟ ,1,,,,
" بتفكيرك السلبي، بتخربي الاجواء كلها ",1,,,,
" بتفكيرك السلبي، بتنقل الجو كله للسوء ",1,,,,
 بدك تتعلمي كيف تكوني مزعجة؟ اساليني او اطلعي على حالك بالمراي,1,,,,
" بس خليك لحالك، ما حدا بيحبك ",1,,,,
 بنت مقززة وأظن أنها من صفة الحمير ,1,,,,
 تاثيرك السلبي يترك بصمة في قلوب الناس حولك واللي حواليهم كمان,1,,,,
 تبدو دائما كمصدر للتوتر والسلبية وين ما رحت ,1,,,,
 تبدو كشخص لا يستحق الجهد والوقت ,1,,,,
 تبدو وكانك تجلب فقط السلبية ولا شيء اخر ,1,,,,
" تبدو وكانك دائما في عالمك الخاص، لا احد يهتم بك ",1,,,,
 تبدو وكانك لا تستحق حتى الاهتمام ,1,,,,
" تبدو وكانك لا تملك اي صفات جيدة، قلي مش مزبوط؟؟؟؟  عشان انننن",1,,,,
" تبدين كمصدر دائم للاحباط، ليس هناك متعة في الحديث معك ",1,,,,
 تجدين الحزن حتى في مشاهدة الافلام السعيدة ,1,,,,
 تجدين السلبية حتى في اشياء صغيرة جدا ,1,,,,
 تجدين السلبية حتى في الاشياء الجميلة ,1,,,,
 تجدين السلبية حتى في اللحظات الخاصة ,1,,,,
 تجدين السلبية حتى في لحظات السكون ,1,,,,
 تجدين الشك حتى في تصريحات الحب ,1,,,,
" تجدين الشك في كل تصرف، حتى الاكثر صدقا ",1,,,,
 تجدين الشك في كل خطوة تقومين بها ,1,,,,
 تجدين الشك في كل كلمة اشادة باتجاهك ,1,,,,
 تجدين الشك في كل كلمة تُقال لكِ ,1,,,,
 تجدين الشك في كل نجاح تحققينه ,1,,,,
 تجدين الشك في كل نصيحة تتلقاها ,1,,,,
 تجدين الصعوبة حتى في الامور البسيطة ,1,,,,
 تجدين الصعوبة حتى في التعبير عن السعادة ,1,,,,
 تجدين الصعوبة حتى في اللحظات الرومانسية ,1,,,,
 تجدين الصعوبة حتى في اللحظات المف,1,,,,
 تجدين الصعوبة حتى في اللحظات الهادئة ,1,,,,
 تجدين الضيق حتى في اللحظات الرومانسية ,1,,,,
 تجدين الضيق حتى في اللحظات المليئة بالحب ,1,,,,
 تجدين الضيق حتى في اوقات السعادة ,1,,,,
 تجدين الضيق في كل تصرف يتجه لصالحك ,1,,,,
 تجدين العذر حتى في النجاحات الكبيرة ,1,,,,
 تجدين العقبات حتى في اسهل المهام ,1,,,,
 تجدين العقبات حتى في الافكار الابداعية ,1,,,,
 تجدين العقبات حتى في الطرق السهلة ,1,,,,
 تجدين العيوب حتى في افضل المبادرات ,1,,,,
 تجدين العيوب في الجمال حتى في اروع المناظر ,1,,,,
 تجدين الفشل في كل تجربة جديدة ,1,,,,
 تجدين القليل من الامل في كل بداية ,1,,,,
 تجدين القليل من السعادة حتى في اللحظات الفارغة ,1,,,,
 تجدين القليل من السعادة في كل اللحظات ,1,,,,
 تجدين القليل من الفائدة في كل خطوة ايجابية ,1,,,,
 تجدين القليل من الفوائد في كل تحدي ,1,,,,
 تجدين الكابة في كل تفاصيل حياتك اليومية ,1,,,,
" تجدين مشكلة في كل حلا، حتى لو كان بسيطا ",1,,,,
 تجعلين الامور السارة تفقد معناها بتعليقاتك ,1,,,,
 تجعلين البسمة تختفي من وجوه الاخرين ,1,,,,
 تجعلين كل قصة تصبح قصة حزينة ,1,,,,
 تجعلين كل نجاح يبدو كفشل في عيونك ,1,,,,
" تجلب السوء الحقيقي للجميع، ابتعد عنا ",1,,,,
 تجلب لنا وجودك هنا جوا سلبيا وغير مرغوب فيه ,1,,,,
 تجلب لنا وجودك هنا جوا سلبيا ولا معنى له ,1,,,,
 تجلب لنا وجودك هنا سوء الحظ والتعاسة ,1,,,,
" تجلب لنا وجودك هنا فقط التوتر والقلق، انسحب ",1,,,,
 تحسين انك ميّتة جوع على انتقاد الكل؟ ,1,,,,
 تحولين الاحداث الجميلة الى تحديات لا تنتهي ,1,,,,
 تحولين الاحداث السارة الى مشاكل لا تنتهي ,1,,,,
 تحولين الاحداث السعيدة الى لحظات محبطة ,1,,,,
 تحولين الاحلام الكبيرة الى احلام محدودة ,1,,,,
 تحولين الاحلام الكبيرة الى تحديات لا تحتمل ,1,,,,
 تحولين الاحلام الى افكار تشاؤمية ,1,,,,
 تحولين الاحلام الى كوابيس بتفكيرك السلبي ,1,,,,
 تحولين الافراح الشخصية الى لحظات غامضة ,1,,,,
 تحولين الافراح الى لحظات محزنة بسرعة ,1,,,,
 تحولين الافكار الابداعية الى مشاكل معقدة ,1,,,,
 تحولين الافكار الابداعية الى مشكلات لا حصر لها ,1,,,,
 تحولين الافكار الايجابية الى احلام مستحيلة ,1,,,,
 تحولين الافكار الايجابية الى حجج للشك ,1,,,,
 تحولين الافكار الايجابية الى نقاط ضعف ,1,,,,
 تحولين الالوان الزاهية الى درجات رمادية في حديثك ,1,,,,
 تحولين الامل الى ياس بتصريحاتك الدائمة ,1,,,,
 تحولين الامور العادية الى تحديات غير متوقعة ,1,,,,
 تحولين الامور العادية الى تحديات لا تُطاق ,1,,,,
 تحولين الاوقات الجميلة الى لحظات مريرة ,1,,,,
 تحولين الاوقات الرومانسية الى لحظات محرجة ,1,,,,
 تحولين الاوقات الساحرة الى لحظات بلا طعم ,1,,,,
 تحولين الاوقات الساحرة الى لحظات محزنة ,1,,,,
 تحولين الاوقات العائلية الى لحظات احباط ,1,,,,
 تحولين الاوقات العائلية الى لحظات محرجة ,1,,,,
 تحولين الاوقات الممتعة الى لحظات مؤلمة ,1,,,,
 تحولين الاوقات الهادئة الى لحظات ترقب وقلق ,1,,,,
 تحولين الاوقات الهادئة الى لحظات توتر وقلق ,1,,,,
 تحولين الاوقات الهادئة الى لحظات غير واضحة ,1,,,,
 تحولين الاوقات الهادئة الى لحظات مكثفة ,1,,,,
 تحولين الاوقات الهادئة الى لحظات من الكابة ,1,,,,
 تحولين الاوقات الهادئة الى لحظات من الياس ,1,,,,
 تحولين التعبيرات الوجهية الايجابية الى تشكيك ,1,,,,
 تحولين الحظوظ الى تحديات كبيرة بتفسيراتك ,1,,,,
 تحولين الرحلات السياحية الى مهمات متعبة ,1,,,,
 تحولين السعادة الى امر معقد بتفكيرك السلبي ,1,,,,
 تحولين السعادة الى لحظات عابرة من دون قيمة ,1,,,,
 تحولين الفرح الجماعي الى تحدي صعب ,1,,,,
" تحولين الفرحة الى حزن بلحظات، لا تتركين فرصة للسعادة ",1,,,,
 تحولين الفرص الجديدة الى مخاطر محتملة ,1,,,,
 تحولين الفرص الجيدة الى مشكلات محتملة ,1,,,,
 تحولين الفرص الضئيلة الى مشاكل ضخمة ,1,,,,
 تحولين اللحظات البسيطة الى لحظات مضايقة ,1,,,,
 تحولين اللحظات الجميلة الى ذكريات مؤلمة ,1,,,,
 تحولين اللحظات الجميلة الى لحظات صعبة ,1,,,,
 تحولين اللحظات الجميلة الى لحظات ضائعة ,1,,,,
 تحولين اللحظات الجيدة الى لحظات محزنة ,1,,,,
 تحولين اللحظات الجيدة الى لحظات محطمة ,1,,,,
 تحولين اللحظات الحميمة الى لحظات محرجة ,1,,,,
 تحولين اللحظات الرائعة الى ذكريات غامضة ,1,,,,
 تحولين اللحظات الرائعة الى لحظات محرجة ,1,,,,
 تحولين اللحظات الرومانسية الى لحظات محرجة ,1,,,,
 تحولين اللحظات الساحرة الى لحظات عابرة ,1,,,,
 تحولين اللحظات العابرة الى ذكريات مريرة ,1,,,,
 تحولين اللحظات العابرة الى لحظات مضطربة ,1,,,,
 تحولين اللحظات العابرة الى لحظات مؤلمة ,1,,,,
 تحولين اللحظات العابرة الى مواقف محرجة ,1,,,,
 تحولين اللحظات المرحة الى لحظات محطمة ,1,,,,
 تحولين اللحظات الهادئة الى لحظات مزعجة ,1,,,,
 تحولين اللحظات الهادئة الى لحظات مشحونة بالقلق ,1,,,,
 تحولين اللحظات الهادئة الى لحظات من القلق ,1,,,,
 تحولين الهدايا الجميلة الى اشياء لا تهمكِ ,1,,,,
 تحولين الهدايا الصغيرة الى تفاصيل لا ترضيكِ ,1,,,,
 تحولين الهمسات الايجابية الى صرخات سلبية ,1,,,,
 تحولين كل ضياء الى ظلام بتحليلك المستمر ,1,,,,
 تحولين كل لحظة الى مشهد من الدراما السلبية ,1,,,,
" تشعرين كانك دائما في موسم الشكاوى، لا نهاية له ",1,,,,
" تشوه وجودك هنا صورة الاماكن، ابتعد عنا ",1,,,,
 تصنعين اجواء مظلمة حتى في اوقات الضياء ,1,,,,
 تصنعين الكابة حتى في اوقات الفرصة والتحدي ,1,,,,
" تظهر دائما بمظهر سخيف، اليس كذلك؟ ",1,,,,
 تفاؤلك السلبي يمسح كل بصيص من الامل في الجو ,1,,,,
" تفاؤلك في حالة غياب تام، واقعية لكن بشكل سلبي ",1,,,,
 تفشل في كل مرة تحاول فيها ,1,,,,
 تفكيركِ السلبي ينتقل كالعدوى الى كل من حولكِ ,1,,,,
 تفكيرك السلبي يؤثر على حياة الجميع من حولك ,1,,,,
 حتى الابتسامة على وجهك تبدو مصطنعة ومكلفة ,1,,,,
 حتى الاحاديث الروتينية معكِ تصبح محطمة ,1,,,,
 حتى الاحلام الايجابية تبدو سوداوية بتفكيرك ,1,,,,
 حتى الاحلام السعيدة تظهر لديكِ بالوان مظلمة ,1,,,,
 حتى الاحلام الوردية تبدو مليئة بالتحديات ,1,,,,
 حتى الاشخاص الاصغر منك يعلمون انك لا تستحق الاهتمام ,1,,,,
 حتى الاشخاص الاقل خبرة يعرفون انك لا تستحق ,1,,,,
 حتى الاشخاص الاقل قوة عقلية يمكنهم ان يفهموا انك لا تصلح ,1,,,,
" حتى الاشياء الاساسية ما بتعرف تتعلمها، يا للاسف! ",1,,,,
 حتى الاشياء البسيطة ما بتعرف تتعلمها ,1,,,,
" حتى الاشياء البسيطة ما بتعرف تتعلمها، لماذا لا تستثمر في تطوير مهاراتك الشخصية؟ ",1,,,,
" حتى الاشياء البسيطة ما بتعرف تتعلمها، لماذا لا تستغل وقتك في تطوير نفسك؟ ",1,,,,
" حتى الاشياء البسيطة ما بتعرف تتعلمها، لماذا لا تستفيد من الفرص لتطوير مهاراتك؟ ",1,,,,
" حتى الاشياء البسيطة ما بتعرف تتعلمها، لماذا؟ ",1,,,,
" حتى الاشياء البسيطة ما بتعرف تتعلمها، ليش ما تستثمر في تطوير ذاتك؟ ",1,,,,
 حتى الاشياء البسيطة ما بتعرف تفهمها ,1,,,,
" حتى الاشياء البسيطة، انتِ تجعلينها معقدة ",1,,,,
 حتى الاشياء الجيدة تصبح بلا قيمة بسبب تفكيرك ,1,,,,
 حتى الاشياء اللي بتعتمد على الحسن نية ما بتشتغل معك ,1,,,,
" حتى الاشياء اللي بتعتمد على الصداقة ما بتعرف تحافظ عليها، ليش ...",1,,,,
 حتى الاشياء اللي ممكن تكون سهلة ما بتعرف تتقنها ,1,,,,
" حتى الاشياء اللي يمكن تكون سهلة، ما بتعرف تفهمها ",1,,,,
" حتى الاشياء اللي يمكن تكون سهلة، ما بتعرف تفهمها...!!",1,,,,
 حتى الاطفال الاصغر سنا يشعرون بالملل من وجودك ,1,,,,
 حتى الاطفال الصغار بيعرفوا انك مشكلة ,1,,,,
 حتى الاطفال الصغار ما بيحبوا يشوفوا وجهك ,1,,,,
" حتى الاطفال ما بيحبوا يشوفوا وجهك، لماذا تستمر؟ ",1,,,,
 حتى الاطفال ما بيحبوا يلعبوا معك ,1,,,,
" حتى الاطفال يتجنبون اللعب معك، لا تلومهم ",1,,,,
" حتى الاطفال يتجنبون اللعب معك، ماذا تفعل هنا؟ ",1,,,,
" حتى الاطفال يشعروا بالتوتر بسبب وجودك، لماذا لا تعمل على تغيير ذلك؟ ",1,,,,
" حتى الاطفال يشعرون بالضيق بسبب وجودك، لماذا لا تعمل على تحسين ذلك؟ ",1,,,,
" حتى الاطفال يشعرون بالقلق بسبب تصرفاتك، لماذا لا تعمل على تحسين صورتك؟ ",1,,,,
" حتى الاطفال يعرفوا انك لا تساهم في خلق بيئة ايجابية، ليش ما تحاول تغيير ذلك؟ ",1,,,,
" حتى الاطفال يعرفوا انك مش مثلهم، ليش ما تفهم الفرق؟ ",1,,,,
 حتى الاطفال يعرفون انك لا تستحق الاحترام ,1,,,,
 حتى الاطفال يعلمون انك لا تستحق الاهتمام ,1,,,,
" حتى الاطفال يمكنهم فهم اهمية الاحترام، طيب ما تتعلم منهم؟ ",1,,,,
 حتى الافراح العائلية تبدو مضطربة بتواجدكِ ,1,,,,
" حتى الافكار البسيطة، عندكِ طابع سلبي ",1,,,,
 حتى الالعاب البسيطة تبدو معقدة ومملة بنظركِ ,1,,,,
 حتى الالوان الزاهية تبدو باهتة بتفكيرك السلبي ,1,,,,
" حتى الامور الاساسية ما بتتعلمها، ليش ما تعمل على تطوير نفسك؟ ",1,,,,
" حتى الامور الاساسية ما بتعرف تتعلمها، لماذا لا تسعى لتحقيق تطور في حياتك؟ ",1,,,,
" حتى الامور الروتينية ما بتتعلمها، لماذا لا تستمتع بتطوير مهاراتك؟ ",1,,,,
 حتى الامور اليومية تتحول لكارثة في حديثك ,1,,,,
 حتى الامور اليومية تظهر لديكِ بابعاد سلبية ,1,,,,
 حتى الاوقات الرومانسية تظهر لديكِ بالوان رمادية ,1,,,,
 حتى الاوقات الساحرة تبدو بلا سحر بنظركِ ,1,,,,
 حتى الاوقات الهادئة تبدو مزعجة بتفكيركِ ,1,,,,
 حتى الايام المشمسة تبدو بلا ضوء بسبب تفكيرك ,1,,,,
" حتى الجدران بتحب تتخلى عنك، ما بتعرف لماذا؟ ",1,,,,
 حتى الجدران بتحس بالملل من وجودك ,1,,,,
" حتى الجدران ما بتحب تتواجد جنبك، ليش لا؟ ",1,,,,
 حتى الجدران ما بتحب تسمع منك ,1,,,,
 حتى الحب يبدو كمشكلة بحديثك الدائم ,1,,,,
 حتى الحيوانات البرية ما بتحب تتقرب من شكلك ,1,,,,
" حتى الحيوانات البرية ما بتحب تتواجد بجوارك، ليش ما تحاول تغيير سلوكك؟ ",1,,,,
 حتى الحيوانات ما بتحب تتعامل معاك ,1,,,,
" حتى الحيوانات ما بتحب تتعامل معاك، لماذا تظل هنا؟ ",1,,,,
" حتى الحيوانات ما بتحب تتعامل معاك، ليش ما تحاول تحسين سلوكك؟ ",1,,,,
" حتى الحيوانات ما بتحب تتعامل معاك، ليش ما تحاول تحسين نفسك؟ ",1,,,,
 حتى الحيوانات ما بتحب تتقرب منك ,1,,,,
" حتى الحيوانات ما بتحب تتواجد بجوارك، ليش ما تحاول تغير طريقتك؟ ",1,,,,
 حتى الحيوانات ما بتحب تتواجد جنبك ,1,,,,
 حتى الشكاوى اليومية تبدو سطحية بجوار تشاؤمكِ ,1,,,,
